,train,val,test
0,00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0
1,000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0
2,000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,0032a07e-bba9-11e8-b2ba-ac1f6b6435d0
3,001838f8-bbca-11e8-b2bc-ac1f6b6435d0,004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,00344514-bbc2-11e8-b2bb-ac1f6b6435d0
4,001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,003feb6e-bbca-11e8-b2bc-ac1f6b6435d0
5,0020af02-bbba-11e8-b2ba-ac1f6b6435d0,006cde8a-bbbb-11e8-b2ba-ac1f6b6435d0,00481c70-bba3-11e8-b2b9-ac1f6b6435d0
6,002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0
7,00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,00855996-bbad-11e8-b2ba-ac1f6b6435d0,005a78ec-bbae-11e8-b2ba-ac1f6b6435d0
8,00301238-bbb2-11e8-b2ba-ac1f6b6435d0,00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0
9,00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,0088a1b6-bbb5-11e8-b2ba-ac1f6b6435d0,006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0
10,00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,008a8630-bb9b-11e8-b2b9-ac1f6b6435d0,0074cfce-bbab-11e8-b2ba-ac1f6b6435d0
11,0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,00751f10-bbab-11e8-b2ba-ac1f6b6435d0
12,003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,008761b4-bbad-11e8-b2ba-ac1f6b6435d0
13,0042017c-bba4-11e8-b2b9-ac1f6b6435d0,00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0
14,0047c984-bba6-11e8-b2ba-ac1f6b6435d0,009c104e-bbc8-11e8-b2bc-ac1f6b6435d0,009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0
15,004b47de-bbca-11e8-b2bc-ac1f6b6435d0,00a71d92-bbb2-11e8-b2ba-ac1f6b6435d0,00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0
16,004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0
17,004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0
18,00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,00d315a6-bbac-11e8-b2ba-ac1f6b6435d0,00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0
