,train,val,test
0,00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0
1,000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,001838f8-bbca-11e8-b2bc-ac1f6b6435d0,002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0
2,002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0032a07e-bba9-11e8-b2ba-ac1f6b6435d0
3,00301238-bbb2-11e8-b2ba-ac1f6b6435d0,0020af02-bbba-11e8-b2ba-ac1f6b6435d0,00344514-bbc2-11e8-b2bb-ac1f6b6435d0
4,00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,003feb6e-bbca-11e8-b2bc-ac1f6b6435d0
5,00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,00481c70-bba3-11e8-b2b9-ac1f6b6435d0
6,0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,004b47de-bbca-11e8-b2bc-ac1f6b6435d0,004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0
7,003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,00626a32-bbab-11e8-b2ba-ac1f6b6435d0,005a78ec-bbae-11e8-b2ba-ac1f6b6435d0
8,0042017c-bba4-11e8-b2b9-ac1f6b6435d0,0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0
9,00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,007c0304-bbbd-11e8-b2ba-ac1f6b6435d0,006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0
10,0047c984-bba6-11e8-b2ba-ac1f6b6435d0,007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,0074cfce-bbab-11e8-b2ba-ac1f6b6435d0
11,004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,00984a2c-bbaa-11e8-b2ba-ac1f6b6435d0,00751f10-bbab-11e8-b2ba-ac1f6b6435d0
12,004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,008761b4-bbad-11e8-b2ba-ac1f6b6435d0
13,004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,00ab56c8-bbad-11e8-b2ba-ac1f6b6435d0,0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0
14,004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,00b6c386-bba9-11e8-b2ba-ac1f6b6435d0,009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0
15,004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0
16,00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,00c58890-bbbc-11e8-b2ba-ac1f6b6435d0,00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0
17,0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0
18,00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,00e77c9c-bbc2-11e8-b2bb-ac1f6b6435d0,00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0
19,0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,01043ee4-bba5-11e8-b2ba-ac1f6b6435d0,00d693c0-bbbb-11e8-b2ba-ac1f6b6435d0
